tanggal,open price,high price,low price,close price
2023-04-05,0.5846,0.5846,0.5846,0.5846
2023-04-06,0.5846,0.5846,0.5846,0.5846
2023-04-10,0.5846,0.5846,0.5846,0.5846
2023-04-11,0.5846,0.5846,0.5846,0.5846
2023-04-12,0.5846,0.5846,0.5846,0.5846
2023-04-13,0.5846,0.5846,0.5846,0.5846
2023-04-14,0.5846,0.5846,0.5846,0.5846
2023-04-17,0.5846,0.5846,0.5846,0.5846
2023-04-18,0.5846,0.5846,0.5846,0.5846
2023-04-19,0.5846,0.5846,0.5846,0.5846
2023-04-20,0.5846,0.5846,0.5846,0.5846
2023-04-21,0.5846,0.5846,0.5846,0.5846
2023-04-24,0.5846,0.5846,0.5846,0.5846
2023-04-25,0.5846,0.5846,0.5846,0.5846
2023-04-27,0.5846,0.5846,0.5846,0.5846
2023-04-28,0.5846,0.5846,0.5846,0.5846
2023-05-01,0.5846,0.5846,0.5846,0.5846
2023-05-02,0.5846,0.5846,0.5846,0.5846
2023-05-03,0.5846,0.5846,0.5846,0.5846
2023-05-04,0.5846,0.5846,0.5846,0.5846
2023-05-05,0.5846,0.5846,0.5846,0.5846
2023-05-08,0.5846,0.5846,0.5846,0.5846
2023-05-09,0.5846,0.5846,0.5846,0.5846
2023-05-10,0.5846,0.5846,0.5846,0.5846
2023-05-11,0.5846,0.5846,0.5846,0.5846
2023-05-12,0.5846,0.5846,0.5846,0.5846
2023-07-11,0.5577,0.5577,0.5577,0.5577
2024-03-08,0.5525,0.5525,0.5525,0.5525
2024-06-20,0.5422,0.5422,0.5422,0.5422
2024-09-17,0.5422,0.5422,0.5422,0.5422
2024-09-19,0.5422,0.5422,0.5422,0.5422
2024-10-02,0.5422,0.5422,0.5422,0.5422
2024-10-08,0.5367,0.5367,0.5367,0.5367
2024-10-14,0.5367,0.5367,0.5367,0.5367
2024-11-04,0.5367,0.5367,0.5367,0.5367
2025-03-11,0.5846,0.5846,0.5846,0.5846
2025-03-12,0.5846,0.5846,0.5846,0.5846
2025-03-13,0.5846,0.5846,0.5846,0.5846
2025-03-14,0.5846,0.5846,0.5846,0.5846
2025-03-17,0.5846,0.5846,0.5846,0.5846
2025-03-18,0.5846,0.5846,0.5846,0.5846
2025-03-19,0.5846,0.5846,0.5846,0.5846
2025-03-20,0.5846,0.5846,0.5846,0.5846
2025-03-21,0.5846,0.5846,0.5846,0.5846
2025-03-24,0.5846,0.5846,0.5846,0.5846
2025-03-25,0.5846,0.5846,0.5846,0.5846
2025-03-26,0.5846,0.5846,0.5846,0.5846
2025-03-27,0.5846,0.5846,0.5846,0.5846
2025-03-28,0.5846,0.5846,0.5846,0.5846
2025-03-31,0.5846,0.5846,0.5846,0.5846
2025-04-01,0.5846,0.5846,0.5846,0.5846
2025-04-02,0.5846,0.5846,0.5846,0.5846
2025-04-03,0.5846,0.5846,0.5846,0.5846
2025-04-04,0.5846,0.5846,0.5846,0.5846
2025-04-07,0.5846,0.5846,0.5846,0.5846
2025-04-08,0.5846,0.5846,0.5846,0.5846
2025-04-09,0.5846,0.5846,0.5846,0.5846
2025-04-10,0.5846,0.5846,0.5846,0.5846
2025-04-11,0.5846,0.5846,0.5846,0.5846
2025-04-14,0.5846,0.5846,0.5846,0.5846
2025-04-15,0.5846,0.5846,0.5846,0.5846
2025-04-16,0.5846,0.5846,0.5846,0.5846
2025-04-17,0.5846,0.5846,0.5846,0.5846
2025-04-21,0.5846,0.5846,0.5846,0.5846
2025-04-22,0.5846,0.5846,0.5846,0.5846
2025-04-23,0.5846,0.5846,0.5846,0.5846
2025-04-24,0.5846,0.5846,0.5846,0.5846
2025-04-25,0.5846,0.5846,0.5846,0.5846
2025-04-28,0.5846,0.5846,0.5846,0.5846
2025-04-29,0.5846,0.5846,0.5846,0.5846
2025-04-30,0.5846,0.5846,0.5846,0.5846
2025-05-01,0.5846,0.5846,0.5846,0.5846
2025-05-02,0.5846,0.5846,0.5846,0.5846
2025-05-05,0.5846,0.5846,0.5846,0.5846
2025-05-06,0.5846,0.5846,0.5846,0.5846
2025-05-07,0.5846,0.5846,0.5846,0.5846
2025-05-08,0.5846,0.5846,0.5846,0.5846
2025-05-09,0.5846,0.5846,0.5846,0.5846
2025-05-12,0.5846,0.5846,0.5846,0.5846
2025-05-13,0.5846,0.5846,0.5846,0.5846
2025-05-14,0.5846,0.5846,0.5846,0.5846
2025-05-15,0.5846,0.5846,0.5846,0.5846
2025-05-16,0.5846,0.5846,0.5846,0.5846
2025-05-19,0.5846,0.5846,0.5846,0.5846
2025-05-20,0.5846,0.5846,0.5846,0.5846
2025-05-21,0.5846,0.5846,0.5846,0.5846
2025-05-22,0.5846,0.5846,0.5846,0.5846
2025-05-23,0.5846,0.5846,0.5846,0.5846
2025-05-27,0.5846,0.5846,0.5846,0.5846
2025-05-28,0.3600,0.3600,0.3600,0.3600
2025-05-29,0.3600,0.3600,0.3600,0.3600
2025-05-30,0.3600,0.3600,0.3600,0.3600
2025-06-02,0.3600,0.3600,0.3600,0.3600
2025-06-03,0.3600,0.3600,0.3600,0.3600
2025-06-04,0.3600,0.3600,0.3600,0.3600
2025-06-05,0.3600,0.3600,0.3600,0.3600
2025-06-06,0.3600,0.3600,0.3600,0.3600
2025-06-09,0.3600,0.3600,0.3600,0.3600
2025-06-10,0.3600,0.3600,0.3600,0.3600
2025-06-11,0.3600,0.3600,0.3600,0.3600
