tanggal,low price
2025-01-16,0.1642
2025-01-17,0.1642
2025-01-21,0.1642
2025-01-22,0.1642
2025-01-23,0.1642
2025-01-24,0.1642
2025-01-27,0.1642
2025-01-28,0.1642
2025-01-29,0.1642
2025-01-30,0.1642
2025-01-31,0.1642
2025-02-03,0.1642
2025-02-04,0.1600
2025-02-05,0.1599
2025-02-06,0.1599
2025-02-07,0.1599
2025-02-10,0.1599
2025-02-11,0.1599
2025-02-12,0.1599
2025-02-13,0.1599
2025-02-14,0.1599
2025-02-18,0.1599
2025-02-19,0.1599
2025-02-20,0.1599
2025-02-21,0.1599
2025-02-24,0.1599
2025-02-25,0.1599
2025-02-26,0.1599
2025-02-27,0.1599
2025-02-28,0.1599
2025-03-03,0.1599
2025-03-04,0.1599
2025-03-05,0.1599
2025-03-06,0.1599
2025-03-07,0.1600
2025-03-10,0.1600
2025-03-11,0.1600
2025-03-12,0.1600
2025-03-13,0.1600
2025-03-14,0.1600
2025-03-17,0.1585
2025-03-18,0.1451
2025-03-19,0.1451
2025-03-20,0.1451
2025-03-21,0.1253
2025-03-24,0.1253
2025-03-25,0.1413
2025-03-26,0.1457
2025-03-27,0.1457
2025-03-28,0.1457
2025-03-31,0.1457
2025-04-01,0.1457
2025-04-02,0.1457
2025-04-03,0.1457
2025-04-04,0.1457
2025-04-07,0.1528
2025-04-08,0.1232
2025-04-09,0.1232
2025-04-10,0.1232
2025-04-11,0.1368
2025-04-14,0.1368
2025-04-15,0.1368
2025-04-16,0.1368
2025-04-17,0.1368
2025-04-21,0.1368
2025-04-22,0.1368
2025-04-23,0.1368
2025-04-24,0.1368
2025-04-25,0.1368
2025-04-28,0.1368
2025-04-29,0.1368
2025-04-30,0.1368
2025-05-01,0.1368
2025-05-02,0.1368
2025-05-05,0.1368
2025-05-06,0.1368
2025-05-07,0.1368
2025-05-08,0.1368
2025-05-09,0.1368
2025-05-12,0.1368
2025-05-13,0.1368
2025-05-14,0.1368
2025-05-15,0.1368
2025-05-16,0.1600
2025-05-19,0.1600
2025-05-20,0.1802
2025-05-21,0.1806
2025-05-22,0.1806
2025-05-23,0.1806
2025-05-27,0.1806
2025-05-28,0.1806
2025-05-29,0.1806
2025-05-30,0.1806
2025-06-02,0.1806
2025-06-03,0.1806
2025-06-04,0.1806
2025-06-05,0.1806
2025-06-06,0.1806
2025-06-09,0.1806
2025-06-10,0.1806
